,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4434,35,technician,single,secondary,no,175,yes,no,cellular,29,jan,219,1,246,1,failure,no
31534,52,housemaid,married,secondary,no,1752,no,yes,telephone,21,nov,346,4,123,8,failure,no
37821,34,technician,single,secondary,no,1161,yes,no,cellular,20,apr,17,5,334,1,failure,no
41577,37,services,married,secondary,no,393,yes,yes,cellular,13,may,95,1,357,1,failure,no
39608,51,management,divorced,tertiary,no,318,yes,no,cellular,6,may,102,2,355,2,failure,no
3998,44,management,married,tertiary,no,724,yes,no,cellular,17,nov,157,2,172,1,failure,no
45024,32,management,single,tertiary,no,0,no,no,cellular,7,jul,98,1,159,1,other,no
35016,46,technician,married,tertiary,no,157,no,no,cellular,5,feb,120,2,224,1,failure,no
3462,34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
33382,34,blue-collar,single,secondary,no,19833,yes,no,cellular,30,jan,84,4,252,1,other,no
38929,37,management,single,tertiary,no,808,no,no,cellular,5,may,29,4,349,1,failure,no
48840,31,management,single,tertiary,no,725,yes,no,cellular,28,jul,211,1,92,2,failure,no
39546,35,management,married,tertiary,no,272,yes,no,cellular,6,may,251,4,289,2,failure,no
39807,37,management,married,tertiary,no,502,yes,no,cellular,7,may,551,1,351,1,failure,no
40320,40,housemaid,single,primary,no,109,yes,no,cellular,8,may,308,1,367,3,failure,no
41707,52,blue-collar,married,secondary,no,33,no,yes,cellular,13,may,204,1,331,3,success,no
651,27,entrepreneur,single,tertiary,no,81,no,no,cellular,5,feb,197,1,199,3,failure,no
32463,52,admin.,married,secondary,no,199,no,no,cellular,28,jan,978,2,189,1,other,no
46185,36,technician,married,tertiary,no,202,no,no,cellular,1,oct,237,1,122,2,failure,no
32555,52,management,married,tertiary,no,1392,no,no,cellular,28,jan,1121,2,205,3,failure,no
49610,57,unemployed,divorced,primary,no,282,no,no,cellular,22,oct,460,1,88,4,other,no
48781,41,blue-collar,divorced,secondary,no,663,yes,no,unknown,22,jul,24,1,792,3,other,no
45654,37,management,married,tertiary,no,3794,no,no,cellular,18,aug,147,1,379,1,failure,no
38473,52,management,single,tertiary,no,2290,no,no,cellular,30,apr,195,2,268,2,other,no
1676,40,admin.,married,secondary,no,168,yes,no,cellular,7,may,249,2,169,1,failure,no
4312,30,services,single,secondary,no,20,yes,no,cellular,20,apr,404,6,340,1,failure,no
30965,32,unemployed,single,secondary,no,1249,yes,no,cellular,20,nov,160,1,171,4,other,no
40010,28,technician,single,secondary,no,417,yes,yes,cellular,7,may,188,2,366,2,other,no
47057,40,admin.,single,secondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure,no
31596,34,management,single,tertiary,no,966,yes,no,cellular,21,nov,393,1,101,3,failure,no
2536,56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,failure,no
41757,40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363,1,173,24,other,no
42678,52,blue-collar,divorced,primary,no,-100,yes,no,cellular,15,may,7,4,340,15,other,no
39828,53,blue-collar,married,secondary,no,913,yes,no,cellular,7,may,213,1,288,1,failure,no
41925,44,management,married,tertiary,no,12392,yes,no,cellular,13,may,177,3,343,1,other,no
2050,52,blue-collar,married,primary,no,230,yes,no,cellular,6,may,198,2,170,2,failure,no
49142,36,management,single,tertiary,no,671,yes,no,cellular,1,sep,161,1,457,2,failure,no
44842,48,technician,married,secondary,no,1981,yes,no,cellular,16,jun,404,3,92,5,failure,no
45388,28,technician,single,tertiary,no,0,yes,no,cellular,12,aug,150,1,79,3,success,no
40829,35,blue-collar,single,secondary,no,0,yes,no,cellular,11,may,371,1,305,1,failure,no
49542,37,management,married,secondary,no,209,no,no,cellular,14,oct,183,3,528,7,unknown,no
32113,40,admin.,single,secondary,no,877,yes,no,cellular,21,nov,12,3,177,6,failure,no
46509,46,management,single,tertiary,no,311,yes,yes,cellular,27,oct,96,1,158,1,failure,no
45781,35,admin.,single,secondary,no,1810,yes,no,cellular,25,aug,52,2,92,2,failure,no
41308,35,blue-collar,single,secondary,no,68,yes,no,cellular,12,may,334,1,347,6,failure,no
41077,37,technician,married,secondary,no,1109,yes,no,cellular,12,may,62,1,354,5,failure,no
36041,46,self-employed,married,secondary,no,-30,yes,yes,cellular,2,apr,164,1,300,2,failure,no
40244,44,technician,married,secondary,no,533,yes,no,cellular,8,may,153,4,171,3,failure,no
32712,30,management,single,tertiary,no,1422,yes,yes,cellular,29,jan,305,1,223,27,failure,no
37944,43,services,married,secondary,no,3689,yes,no,cellular,20,apr,165,1,321,1,failure,no
33568,54,services,married,secondary,no,514,yes,no,cellular,2,feb,109,1,186,3,failure,no
47962,33,self-employed,single,tertiary,no,658,yes,no,cellular,12,apr,93,1,173,2,success,no
36413,34,unemployed,married,secondary,no,438,yes,yes,cellular,9,apr,272,1,323,1,failure,no
36986,44,management,married,tertiary,no,38,yes,no,telephone,16,apr,201,2,330,8,other,no
28672,33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,no
43935,44,technician,married,secondary,no,2981,yes,yes,cellular,22,may,106,1,101,2,failure,no
39891,23,blue-collar,single,secondary,no,537,yes,no,cellular,7,may,172,1,353,2,other,no
48197,40,management,single,tertiary,no,1509,no,no,cellular,12,may,333,1,58,3,failure,no
41743,32,management,single,secondary,no,-119,yes,no,cellular,13,may,231,1,370,1,other,no
34143,36,management,single,tertiary,no,219,no,no,cellular,3,feb,22,6,196,6,failure,no
30335,42,management,married,tertiary,no,783,yes,no,cellular,19,nov,77,2,128,3,failure,no
4456,37,management,married,primary,no,3953,yes,no,cellular,6,apr,610,2,138,1,failure,no
40122,49,management,married,tertiary,no,734,yes,no,cellular,7,may,42,2,324,3,failure,no
40961,44,blue-collar,married,primary,no,953,yes,no,cellular,11,may,772,2,357,1,failure,no
45128,46,self-employed,single,secondary,no,526,no,no,cellular,4,aug,326,1,96,3,success,no
46108,50,management,married,tertiary,no,1612,no,no,cellular,15,sep,188,1,92,4,success,no
37458,32,technician,single,secondary,no,28,yes,no,cellular,17,apr,598,1,150,1,failure,no
36729,29,blue-collar,single,secondary,no,1232,yes,no,cellular,16,apr,258,1,316,2,failure,no
48116,32,management,married,tertiary,no,6138,no,no,cellular,30,apr,211,2,196,7,success,no
49517,75,retired,divorced,secondary,no,1092,no,no,telephone,12,oct,250,1,431,2,failure,no
40889,33,management,single,tertiary,no,48,yes,no,cellular,11,may,400,1,173,5,failure,no
42419,36,services,single,secondary,no,-267,yes,no,cellular,14,may,99,7,352,1,failure,no
4073,51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,no
29805,36,self-employed,single,tertiary,no,3560,no,no,cellular,18,nov,658,3,169,2,failure,no
32334,43,services,married,secondary,no,2478,yes,no,cellular,28,jan,347,1,230,1,failure,no
33980,58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
35372,27,blue-collar,single,secondary,no,539,yes,no,cellular,9,feb,268,5,252,2,failure,no
45362,32,blue-collar,single,tertiary,no,60,yes,yes,cellular,11,aug,248,2,462,1,failure,no
47090,28,management,single,tertiary,no,1840,no,no,cellular,28,dec,1472,1,143,10,other,no
37499,38,blue-collar,married,secondary,no,566,yes,yes,telephone,17,apr,318,2,332,6,other,no
45678,57,retired,married,tertiary,no,1458,no,no,cellular,19,aug,250,1,107,5,failure,no
42398,54,blue-collar,divorced,unknown,no,-473,yes,no,cellular,14,may,239,1,351,2,failure,no
34834,26,services,single,secondary,no,598,yes,no,cellular,5,feb,401,2,272,1,other,no
36862,42,admin.,married,secondary,no,8238,yes,yes,cellular,16,apr,102,2,149,5,other,no
30622,37,housemaid,divorced,secondary,no,226,no,yes,cellular,19,nov,380,2,167,3,other,no
2536,56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,failure,no
39121,32,technician,divorced,tertiary,no,75,no,no,cellular,5,may,104,3,256,9,failure,no
37917,51,blue-collar,married,secondary,no,-237,yes,yes,cellular,20,apr,379,3,320,2,other,no
47001,45,management,married,tertiary,no,1788,no,no,cellular,10,dec,364,1,191,4,failure,no
45984,24,admin.,single,tertiary,no,0,yes,no,cellular,7,sep,89,1,103,2,success,no
38082,30,technician,single,secondary,no,3313,yes,no,telephone,20,apr,534,3,319,3,failure,no
45879,41,management,married,tertiary,no,285,yes,no,cellular,31,aug,90,4,147,4,failure,no
31983,32,entrepreneur,married,unknown,no,73,yes,no,cellular,21,nov,158,1,135,1,failure,no
956,27,unemployed,single,secondary,no,3276,no,no,cellular,5,aug,106,1,110,2,other,no
36497,42,blue-collar,married,primary,no,7735,yes,no,cellular,13,apr,166,1,144,2,failure,no
30590,39,management,divorced,tertiary,no,4692,yes,no,telephone,19,nov,214,2,174,2,success,no
48811,37,management,married,tertiary,no,387,no,no,cellular,26,jul,128,2,419,1,failure,no
35258,47,self-employed,married,tertiary,no,917,no,no,cellular,6,feb,518,3,212,5,failure,no
47898,42,technician,married,secondary,no,2152,no,no,cellular,30,mar,361,2,181,2,failure,no
40465,39,services,married,secondary,no,-762,yes,yes,cellular,8,may,40,6,343,2,failure,no
40468,56,blue-collar,single,primary,no,39,yes,no,telephone,8,may,191,2,347,5,failure,no
40691,40,blue-collar,married,primary,no,98,yes,no,cellular,11,may,240,2,343,5,failure,no
33581,47,entrepreneur,married,secondary,no,583,yes,no,cellular,2,feb,495,1,258,2,failure,no
40394,49,blue-collar,married,secondary,no,-202,yes,yes,cellular,8,may,608,2,170,5,failure,no
30055,52,retired,married,secondary,no,424,no,no,cellular,19,nov,143,1,154,3,failure,no
76,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
41529,43,blue-collar,married,secondary,no,3,yes,no,telephone,13,may,26,1,174,2,failure,no
41233,39,blue-collar,married,primary,no,467,yes,no,cellular,12,may,7,5,285,30,other,no
33267,56,management,married,tertiary,no,4,yes,yes,cellular,30,jan,299,1,2,5,other,no
37507,30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
31060,55,admin.,married,secondary,no,1102,yes,no,cellular,20,nov,195,1,189,2,failure,no
33057,28,student,single,secondary,no,24,yes,no,cellular,29,jan,284,2,196,2,failure,no
1635,33,blue-collar,married,secondary,no,687,yes,no,cellular,14,may,72,2,370,1,failure,no
40420,34,technician,single,secondary,no,1866,no,no,cellular,8,may,134,3,185,1,failure,no
46923,39,services,married,secondary,no,323,no,no,cellular,3,dec,1804,3,182,3,other,no
40134,34,blue-collar,single,primary,no,279,yes,no,cellular,7,may,208,1,357,1,failure,no
36492,38,admin.,divorced,secondary,no,3834,yes,no,cellular,13,apr,363,2,327,1,failure,no
34758,32,technician,married,secondary,no,3322,yes,no,cellular,5,feb,588,2,175,2,failure,no
31206,47,blue-collar,married,secondary,no,2428,yes,no,cellular,20,nov,9,6,177,16,other,no
39335,32,blue-collar,single,secondary,no,53,yes,no,cellular,6,may,153,1,169,2,failure,no
32113,40,admin.,single,secondary,no,877,yes,no,cellular,21,nov,12,3,177,6,failure,no
38748,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure,no
42670,28,services,married,secondary,no,511,yes,no,cellular,15,may,274,1,319,5,failure,no
35990,33,admin.,single,secondary,no,285,yes,no,cellular,1,apr,427,1,329,1,other,no
42695,57,management,married,tertiary,no,334,yes,no,cellular,15,may,169,2,365,2,failure,no
3985,43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58,3,347,5,failure,no
48799,28,student,single,secondary,no,2015,no,no,cellular,26,jul,110,2,182,2,failure,no
31430,45,housemaid,married,tertiary,no,460,no,no,cellular,21,nov,312,3,157,1,failure,no
3272,44,services,single,secondary,no,5045,yes,no,cellular,21,nov,20,6,175,15,other,no
1764,29,admin.,single,secondary,no,1992,no,no,cellular,8,jul,202,1,87,2,failure,no
37501,42,blue-collar,married,primary,no,875,yes,no,cellular,17,apr,426,5,148,1,failure,no
29797,34,blue-collar,married,secondary,no,932,no,yes,cellular,18,nov,148,2,132,1,other,no
42613,35,blue-collar,married,primary,no,-167,yes,no,cellular,15,may,195,3,359,1,failure,no
43520,33,admin.,married,secondary,no,48,yes,no,cellular,18,may,164,5,294,3,failure,no
49459,47,housemaid,single,tertiary,no,3232,no,no,telephone,6,oct,541,1,204,3,failure,no
2429,26,student,single,secondary,no,203,no,no,cellular,16,nov,104,1,196,1,failure,no
43028,31,admin.,single,secondary,no,-1,yes,no,cellular,15,may,99,1,352,1,failure,no
38589,47,technician,married,secondary,no,0,yes,no,cellular,30,apr,81,1,164,1,failure,no
49488,70,retired,divorced,secondary,no,4572,no,no,cellular,11,oct,115,2,95,16,failure,no
33079,37,management,divorced,secondary,no,414,no,no,cellular,29,jan,293,2,162,4,failure,no
41635,55,blue-collar,married,primary,no,-636,yes,no,telephone,13,may,15,5,348,3,failure,no
31442,50,management,divorced,tertiary,no,2564,yes,no,cellular,21,nov,124,4,113,8,failure,no
4343,51,blue-collar,married,primary,no,40,yes,no,cellular,13,may,79,1,370,1,failure,no
39241,37,management,divorced,tertiary,no,0,yes,no,cellular,5,may,74,8,351,11,failure,no
36938,32,blue-collar,married,primary,no,5511,no,no,cellular,16,apr,408,2,231,16,other,no
33579,32,services,married,secondary,no,289,yes,no,cellular,2,feb,63,1,257,2,failure,no
33294,46,technician,married,secondary,no,198,yes,no,cellular,30,jan,153,1,2,6,other,no
48087,37,admin.,married,secondary,no,55,yes,yes,cellular,27,apr,99,1,329,4,other,no
48157,27,management,single,secondary,no,145,yes,no,cellular,5,may,121,4,89,3,failure,no
30963,46,technician,divorced,secondary,no,3455,yes,no,cellular,20,nov,120,4,190,2,failure,no
39504,42,blue-collar,divorced,secondary,no,1491,yes,no,cellular,6,may,203,2,334,2,failure,no
31707,45,management,married,tertiary,no,2220,yes,no,cellular,21,nov,89,1,133,2,failure,no
37146,55,management,married,tertiary,no,505,yes,no,cellular,17,apr,58,1,316,1,other,no
40550,57,self-employed,married,primary,no,-34,yes,yes,cellular,11,may,108,6,371,2,failure,no
43334,31,technician,single,secondary,no,1447,yes,no,cellular,18,may,236,3,178,15,failure,no
29274,44,management,married,tertiary,no,756,yes,no,cellular,18,nov,65,1,130,2,failure,no
34754,33,entrepreneur,divorced,primary,no,596,no,yes,cellular,5,feb,308,1,213,1,other,no
30115,45,technician,divorced,secondary,no,1309,yes,no,cellular,19,nov,298,1,170,2,failure,no
45915,35,technician,single,secondary,no,183,no,no,cellular,1,sep,516,2,130,2,failure,no
43849,26,blue-collar,single,secondary,no,23,yes,no,cellular,18,may,11,6,367,1,other,no
48296,78,retired,married,primary,no,680,no,no,telephone,24,may,838,1,89,9,failure,no
46821,41,unemployed,divorced,primary,no,487,no,no,cellular,16,nov,163,1,200,1,failure,no
31185,44,blue-collar,married,secondary,no,3060,yes,no,cellular,20,nov,113,1,189,2,failure,no
33132,57,technician,divorced,secondary,no,77,yes,yes,cellular,29,jan,168,3,246,2,failure,no
35187,35,blue-collar,single,unknown,no,871,yes,no,cellular,6,feb,117,1,245,3,failure,no
37582,38,blue-collar,single,secondary,no,13156,yes,no,cellular,17,apr,291,4,331,1,failure,no
33606,45,services,married,secondary,no,-75,yes,no,cellular,2,feb,134,1,252,1,failure,no
45216,30,technician,married,secondary,no,776,no,no,cellular,7,aug,72,1,99,2,success,no
38955,29,management,single,tertiary,no,1514,yes,no,telephone,5,may,363,1,333,7,other,no
29657,44,technician,married,secondary,no,533,yes,no,cellular,18,nov,127,1,110,2,failure,no
43867,25,services,married,secondary,no,121,yes,no,cellular,18,may,477,3,356,3,other,no
46504,55,admin.,married,secondary,no,865,yes,no,cellular,27,oct,96,1,111,3,failure,no
40122,49,management,married,tertiary,no,734,yes,no,cellular,7,may,42,2,324,3,failure,no
42963,41,admin.,divorced,secondary,no,2550,yes,no,cellular,15,may,894,2,347,2,failure,no
42269,30,blue-collar,married,secondary,no,-97,yes,yes,cellular,14,may,255,1,356,1,other,no
46985,57,retired,divorced,primary,no,698,no,no,telephone,9,dec,135,3,191,2,failure,no
33844,39,blue-collar,married,primary,no,541,yes,no,cellular,2,feb,361,2,258,1,other,no
41624,39,technician,single,secondary,no,0,yes,no,cellular,13,may,6,7,175,4,other,no
29405,38,management,single,tertiary,no,427,yes,no,cellular,18,nov,253,1,182,1,failure,no
34334,59,unemployed,married,secondary,no,4497,yes,no,cellular,4,feb,213,1,251,1,failure,no
43103,41,admin.,single,secondary,no,90,yes,no,cellular,15,may,77,2,347,4,failure,no
821,31,management,single,tertiary,no,112,yes,no,cellular,2,feb,159,2,271,1,failure,no
38952,45,management,married,primary,no,4758,yes,no,cellular,5,may,632,5,287,6,success,no
49226,38,entrepreneur,married,tertiary,no,1649,no,yes,cellular,6,sep,218,2,432,3,success,no
31882,52,management,married,tertiary,no,2428,yes,no,cellular,21,nov,294,1,116,3,failure,no
37135,36,services,divorced,secondary,no,543,yes,no,cellular,17,apr,101,1,269,2,failure,no
42600,39,blue-collar,single,secondary,no,522,yes,no,telephone,14,may,225,7,350,2,failure,no
31019,33,entrepreneur,married,tertiary,no,4465,yes,no,cellular,20,nov,161,1,183,2,failure,no
33446,36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure,no
33304,33,blue-collar,single,tertiary,no,457,yes,no,cellular,30,jan,159,1,191,4,failure,no
43418,53,services,single,secondary,no,1162,yes,no,cellular,18,may,185,1,178,1,failure,no
29565,41,technician,married,secondary,no,2123,no,no,cellular,18,nov,232,1,102,2,failure,no
41968,31,admin.,single,secondary,no,507,yes,no,cellular,13,may,65,2,299,3,other,no
43852,46,services,married,primary,no,116,yes,no,cellular,18,may,267,4,341,3,failure,no
41707,52,blue-collar,married,secondary,no,33,no,yes,cellular,13,may,204,1,331,3,success,no
47829,47,housemaid,single,tertiary,no,3232,no,no,telephone,16,mar,294,1,274,2,failure,no
40426,39,blue-collar,married,primary,no,1433,yes,no,cellular,8,may,182,2,366,1,other,no
42167,38,technician,single,tertiary,no,744,yes,no,cellular,14,may,283,1,288,12,other,no
42803,33,blue-collar,married,primary,no,1138,yes,yes,cellular,15,may,122,2,343,4,failure,no
40093,43,admin.,divorced,secondary,no,146,yes,no,cellular,7,may,274,3,358,2,failure,no
34591,29,admin.,married,secondary,no,0,yes,yes,cellular,4,feb,376,2,229,3,other,no
40617,29,admin.,single,tertiary,no,200,yes,no,cellular,11,may,195,1,357,1,other,no
33127,32,blue-collar,married,secondary,no,-460,yes,yes,cellular,29,jan,131,2,206,6,other,no
40142,40,admin.,divorced,unknown,no,64,yes,no,cellular,7,may,873,1,293,1,failure,no
31856,39,services,single,secondary,no,158,yes,no,cellular,21,nov,183,1,168,2,failure,no
34916,44,entrepreneur,married,secondary,no,320,yes,yes,cellular,5,feb,269,3,234,2,other,no
45215,47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58,2,382,1,failure,no
40424,41,unemployed,single,secondary,no,75,yes,no,cellular,8,may,103,2,344,1,failure,no
37353,52,admin.,divorced,secondary,no,340,yes,no,cellular,17,apr,463,1,344,1,failure,no
1327,33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,failure,no
42452,52,technician,married,tertiary,no,136,yes,no,telephone,14,may,46,2,287,10,other,no
31589,38,blue-collar,divorced,secondary,no,814,yes,no,cellular,21,nov,1166,1,155,3,other,no
48129,48,management,married,tertiary,no,0,yes,no,cellular,4,may,85,1,61,5,failure,no
45605,36,technician,single,secondary,no,1228,yes,no,cellular,14,aug,153,2,102,3,success,no
39730,34,management,single,tertiary,no,2607,no,no,cellular,7,may,63,1,336,12,other,no
48066,60,housemaid,married,primary,no,182,no,no,cellular,26,apr,166,5,181,5,failure,no
34548,52,technician,married,secondary,no,463,yes,no,cellular,4,feb,132,6,267,5,failure,no
34972,30,unemployed,single,secondary,no,79,no,yes,cellular,5,feb,528,2,196,1,failure,no
43028,31,admin.,single,secondary,no,-1,yes,no,cellular,15,may,99,1,352,1,failure,no
2013,31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no
48612,43,technician,married,secondary,no,69,yes,yes,cellular,7,jul,156,1,260,2,failure,no
39355,26,admin.,single,secondary,no,96,no,no,cellular,6,may,606,1,345,1,failure,no
41635,55,blue-collar,married,primary,no,-636,yes,no,telephone,13,may,15,5,348,3,failure,no
42745,24,blue-collar,single,primary,no,145,yes,no,cellular,15,may,520,1,345,1,failure,no
49675,63,retired,married,primary,no,3738,no,no,telephone,9,nov,301,1,456,4,failure,no
32479,44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,jan,290,2,153,3,failure,no
39557,54,admin.,married,secondary,no,614,yes,no,cellular,6,may,322,2,343,2,failure,no
32810,40,blue-collar,divorced,secondary,no,94,yes,no,cellular,29,jan,121,1,245,1,failure,no
48249,29,technician,single,tertiary,no,865,no,no,cellular,17,may,248,3,243,1,failure,no
36336,32,technician,married,secondary,no,1951,yes,no,cellular,8,apr,518,2,261,2,failure,no
44011,38,management,married,tertiary,no,93,yes,no,cellular,25,may,74,1,272,4,failure,no
40736,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
34763,29,services,married,primary,no,549,yes,no,cellular,5,feb,205,1,245,2,failure,no
37680,34,management,single,tertiary,no,5452,no,no,cellular,20,apr,96,1,245,5,other,no
41489,38,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,57,5,349,1,other,no
35215,43,admin.,single,secondary,no,309,yes,no,telephone,6,feb,24,5,276,1,other,no
43265,38,management,divorced,tertiary,no,4335,yes,no,cellular,18,may,157,7,179,1,failure,no
38998,52,admin.,married,primary,no,576,yes,no,cellular,5,may,139,1,286,1,failure,no
33980,58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
29656,46,blue-collar,single,primary,no,3046,yes,yes,cellular,18,nov,84,1,183,1,other,no
42226,34,management,married,tertiary,no,902,yes,no,cellular,14,may,159,1,367,2,other,no
36304,39,admin.,married,secondary,no,217,yes,no,cellular,8,apr,284,1,308,4,failure,no
34195,42,admin.,single,secondary,no,400,yes,no,cellular,3,feb,198,5,244,6,failure,no
3746,50,management,married,tertiary,no,-470,yes,no,cellular,19,nov,130,2,160,1,failure,no
43572,32,admin.,single,secondary,no,92,yes,no,cellular,18,may,110,1,315,2,failure,no
31476,45,management,divorced,tertiary,no,2096,no,no,cellular,21,nov,127,1,100,2,failure,no
42696,38,services,married,secondary,no,773,yes,no,cellular,15,may,198,1,359,1,other,no
3548,39,admin.,married,secondary,no,-650,no,no,cellular,15,may,123,2,364,1,failure,no
33797,45,admin.,married,secondary,no,1214,yes,no,cellular,2,feb,150,2,189,2,failure,no
35505,40,blue-collar,married,primary,no,3462,yes,no,cellular,9,feb,171,3,277,4,other,no
35114,43,technician,married,primary,no,321,yes,no,cellular,6,feb,12,5,268,6,other,no
36679,38,technician,single,secondary,no,8381,no,no,cellular,15,apr,82,1,145,1,failure,no
2215,34,management,single,unknown,no,1534,yes,no,cellular,16,apr,156,1,147,7,other,no
49487,28,services,single,secondary,no,1347,no,no,telephone,11,oct,317,2,108,14,other,no
49279,28,admin.,married,secondary,no,1595,no,no,unknown,9,sep,1,1,254,4,success,no
45983,33,management,married,tertiary,no,1390,no,no,cellular,7,sep,92,1,84,4,failure,no
2992,47,housemaid,married,secondary,no,3940,yes,no,cellular,9,nov,171,2,96,5,success,no
37282,49,blue-collar,married,primary,no,816,yes,no,cellular,17,apr,76,1,260,7,failure,no
42723,35,blue-collar,divorced,secondary,no,286,yes,no,cellular,15,may,158,1,365,4,other,no
38974,36,blue-collar,married,secondary,no,80,yes,yes,cellular,5,may,234,1,165,4,failure,no
2242,34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,no
40813,43,admin.,single,secondary,no,426,yes,no,cellular,11,may,76,2,304,2,failure,no
34926,29,services,single,secondary,no,612,no,no,cellular,5,feb,47,1,198,5,other,no
3433,58,management,married,secondary,no,139,no,no,cellular,27,may,188,1,161,2,other,no
47352,33,management,married,tertiary,no,62,yes,no,cellular,2,feb,102,1,264,1,failure,no
35461,35,blue-collar,single,secondary,no,0,yes,no,cellular,9,feb,226,3,280,1,other,no
33446,36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure,no
31089,51,technician,married,secondary,no,-153,no,no,cellular,20,nov,72,2,92,4,failure,no
34720,31,student,single,secondary,no,334,yes,no,cellular,5,feb,195,4,233,2,other,no
821,31,management,single,tertiary,no,112,yes,no,cellular,2,feb,159,2,271,1,failure,no
48142,34,self-employed,married,tertiary,no,263,no,no,cellular,4,may,203,1,78,8,other,no
42156,46,technician,married,tertiary,no,217,yes,no,cellular,14,may,141,1,346,2,other,no
37377,37,blue-collar,married,secondary,no,982,yes,no,cellular,17,apr,127,1,282,2,failure,no
33986,28,entrepreneur,married,tertiary,no,59,no,no,cellular,3,feb,330,3,190,6,failure,no
685,46,services,married,secondary,no,1550,yes,no,cellular,16,apr,126,2,149,8,failure,no
29365,35,management,single,secondary,no,5260,yes,no,cellular,18,nov,59,1,182,2,failure,no
35080,32,blue-collar,divorced,primary,no,158,yes,no,cellular,5,feb,728,4,253,1,failure,no
36242,48,services,married,secondary,no,665,yes,no,cellular,7,apr,271,2,230,3,failure,no
43386,36,entrepreneur,married,secondary,no,1163,yes,no,cellular,18,may,420,7,363,1,failure,no
3574,34,housemaid,married,tertiary,no,0,no,no,cellular,26,may,141,1,188,1,failure,no
28820,50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,no
36167,44,management,married,secondary,no,8262,yes,no,cellular,6,apr,150,1,257,16,failure,no
37214,34,blue-collar,single,secondary,no,-317,yes,no,cellular,17,apr,518,3,346,1,other,no
34686,33,management,married,secondary,no,165,yes,no,telephone,5,feb,126,3,258,15,other,no
29750,52,services,married,secondary,no,2257,yes,no,telephone,18,nov,102,2,188,1,failure,no
41362,43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112,2,330,3,other,no
40091,30,management,married,tertiary,no,86,yes,yes,cellular,7,may,255,6,169,3,failure,no
34476,41,blue-collar,married,unknown,no,402,yes,no,cellular,4,feb,604,1,204,2,failure,no
39538,33,blue-collar,married,primary,no,289,yes,no,cellular,6,may,309,1,363,4,failure,no
39116,41,blue-collar,married,secondary,no,992,yes,yes,cellular,5,may,335,1,295,3,failure,no
30025,33,management,married,tertiary,no,3696,no,no,cellular,19,nov,305,1,182,3,failure,no
48955,60,services,married,secondary,no,4428,no,no,cellular,5,aug,382,1,97,5,other,no
32181,37,blue-collar,single,secondary,no,3111,yes,no,cellular,21,nov,9,3,185,2,failure,no
41656,32,technician,married,secondary,no,-684,yes,no,cellular,13,may,11,8,299,3,other,no
39375,39,services,married,primary,no,0,no,no,cellular,6,may,49,2,282,3,failure,no
48999,37,blue-collar,married,secondary,no,80,yes,yes,unknown,9,aug,6,1,461,5,failure,no
41968,31,admin.,single,secondary,no,507,yes,no,cellular,13,may,65,2,299,3,other,no
3633,36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
31766,47,blue-collar,married,primary,no,333,yes,no,cellular,21,nov,118,1,113,4,failure,no
38003,46,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,239,2,259,2,failure,no
33168,34,technician,married,secondary,no,1137,no,no,cellular,29,jan,383,2,206,1,other,no
44170,29,management,single,tertiary,no,15459,no,no,cellular,26,may,245,3,97,7,success,no
39144,47,technician,married,secondary,no,57,no,no,cellular,5,may,253,1,342,1,success,no
41370,36,blue-collar,married,secondary,no,98,yes,no,cellular,12,may,415,1,344,1,failure,no
